f_low,f_high,MAE,RMSE
0.1,5.0,33.1353,51.8413
0.1,8.0,33.4778,50.5944
0.1,12.0,32.905,50.5163
0.1,15.0,32.5686,49.7099
0.1,20.0,33.0752,50.8612
0.1,25.0,33.0766,50.8476
0.2,5.0,30.4126,47.8421
0.2,8.0,30.0401,45.6987
0.2,12.0,33.1313,50.56
0.2,15.0,33.1926,50.5668
0.2,20.0,32.4255,49.628
0.2,25.0,32.4105,49.6106
0.4,5.0,32.3912,49.4929
0.4,8.0,32.3809,49.264
0.4,12.0,31.3353,47.8881
0.4,15.0,31.5307,48.3351
0.4,20.0,31.6377,48.4628
0.4,25.0,31.3979,48.4099
1.0,5.0,28.1156,46.6371
1.0,8.0,28.4424,46.8082
1.0,12.0,28.517,46.4817
1.0,15.0,27.5488,44.6552
1.0,20.0,26.9266,43.599
1.0,25.0,26.9425,43.6073
1.5,5.0,26.7186,47.8155
1.5,8.0,24.961,44.9979
1.5,12.0,24.7165,43.6252
1.5,15.0,24.6524,43.5915
1.5,20.0,23.5986,41.0451
1.5,25.0,23.44,41.0037
