lambda,delta,MAE,RMSE
0.99,0.01,34.6934,56.3379
0.99,0.1,35.3971,57.5261
0.99,1.0,36.3417,58.5458
0.99,10.0,36.8004,59.202
0.99,100.0,35.1413,56.4106
0.995,0.01,33.9758,56.3238
0.995,0.1,33.5899,55.6978
0.995,1.0,33.3361,54.3334
0.995,10.0,36.0637,58.6842
0.995,100.0,35.0311,57.4095
0.999,0.01,31.274,53.9837
0.999,0.1,29.8023,50.4813
0.999,1.0,32.7905,54.8703
0.999,10.0,32.3501,54.0359
0.999,100.0,30.6678,51.4317
0.9999,0.01,29.7433,46.9299
0.9999,0.1,31.3748,48.6485
0.9999,1.0,33.1926,50.5668
0.9999,10.0,33.0619,50.1282
0.9999,100.0,34.7613,52.4487
1.0,0.01,30.2612,42.4873
1.0,0.1,29.6981,42.7022
1.0,1.0,30.1022,44.586
1.0,10.0,28.7441,42.85
1.0,100.0,28.7272,42.8406
