w2,w3,w4,w5,MAE,RMSE
0.1250,0.3750,0.2500,0.2500,33.1926,50.5668
0.0488,0.5406,0.0093,0.4013,27.86,44.0499
0.7695,0.0414,0.1439,0.0451,45.0591,58.6314
0.5706,0.1822,0.0325,0.2147,43.8007,57.1811
0.3871,0.3726,0.1490,0.0913,37.3258,53.31
0.0530,0.3859,0.2543,0.3067,31.1493,47.0677
0.2043,0.0961,0.5503,0.1493,37.8461,55.6948
0.1394,0.0972,0.3691,0.3942,35.5376,53.231
0.5952,0.1469,0.0280,0.2298,43.7469,57.1864
0.1794,0.0524,0.5454,0.2229,37.0924,54.9711
0.2362,0.5059,0.2392,0.0188,30.0342,46.8704
0.4690,0.1562,0.0096,0.3652,39.0269,54.1268
0.1381,0.2314,0.5805,0.0500,35.8127,53.3962
0.3260,0.4190,0.2150,0.0400,34.8929,50.7118
0.5896,0.2070,0.1451,0.0583,44.7307,58.0938
0.2522,0.3047,0.1382,0.3049,32.547,49.1324
0.6334,0.2888,0.0663,0.0115,44.9158,58.0833
0.0154,0.1136,0.7945,0.0764,35.392,53.2596
0.4705,0.0700,0.3675,0.0920,43.8173,58.16
0.6387,0.2494,0.0701,0.0417,44.6811,58.0516
0.0332,0.3576,0.5279,0.0813,34.4623,52.1147
0.1742,0.2709,0.1688,0.3861,31.9216,48.8623
0.3202,0.1737,0.3302,0.1759,37.3251,54.4896
0.5294,0.1133,0.2243,0.1331,45.3395,58.7551
0.0709,0.4408,0.4766,0.0117,34.8784,51.7741
0.0070,0.8281,0.0692,0.0957,27.8358,44.0337
0.6637,0.0189,0.1641,0.1533,45.0997,58.6804
0.0155,0.2816,0.2875,0.4153,31.6976,49.8273
0.0711,0.0393,0.1667,0.7229,34.3492,51.6151
0.6152,0.0146,0.2859,0.0842,45.1928,58.7353
0.0138,0.3890,0.3512,0.2459,31.5926,48.2376
