window_size,yw_order,MAE,RMSE
60,100,33.1926,50.5668
30,50,47.829,62.3113
30,75,32.8313,48.2368
30,100,28.5884,45.3973
30,125,27.0854,42.7406
30,150,24.4419,40.0406
45,50,46.5044,61.7934
45,75,35.0859,51.2825
45,100,31.9476,48.6675
45,125,25.8646,41.9108
45,150,25.7258,42.7626
60,50,47.5617,62.3352
60,75,33.8487,49.8767
60,125,27.2517,43.9391
60,150,25.6824,43.5535
75,50,47.9211,62.4339
75,75,34.9513,51.6015
75,100,34.5099,54.0332
75,125,30.5811,47.8244
75,150,29.0961,46.8158
90,50,47.4401,62.0982
90,75,35.0758,51.5474
90,100,35.6603,54.2722
90,125,29.5761,46.126
90,150,28.4675,47.0302
