overlap_pct,window_size,window_step,MAE,RMSE
50.0,60,30,4.8583,9.1403
0.0,60,60,5.159,10.089
20.0,60,48,4.7725,8.8939
40.0,60,36,4.7368,9.0131
60.0,60,24,4.9836,9.2321
81.7,60,11,4.9217,8.9906
95.0,60,3,4.7498,8.699
