f_low,f_high,MAE,RMSE
0.1,5.0,3.7737,7.5818
0.1,8.0,4.4,8.4189
0.1,12.0,5.2047,9.8285
0.1,15.0,5.0217,9.136
0.1,20.0,4.9189,9.1908
0.1,25.0,5.0012,9.1511
0.2,5.0,3.6232,6.9653
0.2,8.0,4.3037,8.3493
0.2,12.0,5.1263,9.8294
0.2,15.0,4.8583,9.1403
0.2,20.0,4.6978,8.9746
0.2,25.0,4.7852,9.0318
0.4,5.0,3.8956,6.1667
0.4,8.0,4.1973,6.9284
0.4,12.0,4.0889,6.9462
0.4,15.0,4.2876,7.4976
0.4,20.0,4.2743,7.4471
0.4,25.0,4.2601,7.4412
1.0,5.0,4.0024,6.8609
1.0,8.0,3.5822,6.4962
1.0,12.0,3.4356,6.4236
1.0,15.0,3.3762,6.3483
1.0,20.0,3.3303,6.3348
1.0,25.0,3.2934,6.3189
1.5,5.0,2.6065,4.8768
1.5,8.0,2.6755,4.9719
1.5,12.0,2.8656,4.9843
1.5,15.0,3.199,5.4324
1.5,20.0,3.124,5.2927
1.5,25.0,3.1347,5.2808
