window_size,yw_order,MAE,RMSE
60,100,4.8583,9.1403
30,50,12.2288,18.8592
30,75,6.3913,9.9636
30,100,5.413,9.5201
30,125,5.2403,9.5481
30,150,5.7269,10.998
45,50,12.2178,18.7854
45,75,6.1061,9.8913
45,100,5.086,9.0989
45,125,4.9868,9.1986
45,150,5.175,10.5736
60,50,11.7879,17.9731
60,75,6.1,9.9034
60,125,4.7424,8.7782
60,150,5.0306,10.1535
75,50,12.5346,19.0432
75,75,6.0758,10.0877
75,100,5.0727,9.3063
75,125,4.707,8.8241
75,150,5.1234,10.3914
90,50,13.5032,19.8749
90,75,6.1845,10.2165
90,100,5.1053,9.6057
90,125,4.9504,9.5655
90,150,4.6991,9.5987
