overlap_pct,window_size,window_step,MAE,RMSE
50.0,60,30,1.4894,4.2557
0.0,60,60,1.5773,4.5705
20.0,60,48,1.6735,4.6827
40.0,60,36,1.4928,4.2825
60.0,60,24,1.3948,3.7451
81.7,60,11,1.3084,3.5136
95.0,60,3,1.235,3.3087
