w2,w3,w4,w5,MAE,RMSE
0.2103,0.2549,0.4055,0.1293,1.6263,4.3572
0.0160,0.0900,0.5717,0.3223,1.212,3.253
0.1777,0.5554,0.2252,0.0418,1.6172,4.307
0.3929,0.1526,0.4247,0.0298,1.7597,4.4303
0.6389,0.1325,0.0400,0.1887,3.6592,5.9749
0.3634,0.5131,0.0173,0.1062,1.7749,4.3725
0.4941,0.0842,0.1282,0.2935,2.8402,5.2807
0.2288,0.0936,0.2168,0.4608,2.1235,4.7487
0.2138,0.0289,0.0816,0.6758,2.6918,5.3536
0.1753,0.3115,0.1522,0.3609,1.6777,4.3165
0.5477,0.2539,0.1006,0.0979,3.178,5.5628
0.1477,0.3104,0.0666,0.4753,1.9912,4.6874
0.1971,0.2532,0.0767,0.4730,2.0755,4.7284
0.0246,0.0570,0.2242,0.6941,2.2637,4.3759
0.2500,0.3086,0.0111,0.4302,2.1124,4.6967
0.1754,0.1368,0.4308,0.2570,1.2502,3.283
0.0772,0.2937,0.4206,0.2086,1.2442,3.2087
0.3901,0.3566,0.0484,0.2049,2.1086,4.5304
0.0419,0.0009,0.2599,0.6974,2.2596,4.3786
0.2590,0.0255,0.2809,0.4347,2.1411,4.7743
0.3238,0.0160,0.3036,0.3565,2.3384,4.9247
0.0714,0.3751,0.4661,0.0874,1.2682,3.279
0.1621,0.1040,0.6185,0.1154,1.3092,3.2984
0.0982,0.2831,0.0337,0.5850,2.2116,4.8768
0.4914,0.2366,0.1621,0.1099,2.5486,5.0407
0.0169,0.1435,0.2623,0.5773,1.9977,4.0437
0.6987,0.2282,0.0163,0.0568,3.6017,5.9517
0.3260,0.0044,0.0546,0.6149,2.7166,5.214
