w2,w3,w4,w5,MAE,RMSE
0.1250,0.3750,0.2500,0.2500,1.4894,4.2557
0.5061,0.0986,0.3430,0.0523,3.0032,5.3629
0.3725,0.0703,0.0000,0.5572,2.6894,5.1139
0.2790,0.3107,0.2308,0.1794,1.6917,4.3849
0.0405,0.1280,0.1251,0.7065,2.5117,5.207
0.1173,0.4390,0.0491,0.3947,1.6568,4.286
0.0349,0.6565,0.1757,0.1328,1.5293,4.252
0.0983,0.1105,0.7036,0.0875,1.3072,3.2833
0.4387,0.2160,0.1370,0.2083,2.5075,5.0878
0.4964,0.0718,0.2103,0.2215,2.6748,5.2686
0.3297,0.0902,0.2326,0.3475,2.3501,4.9234
0.4394,0.4366,0.0615,0.0625,2.1766,4.6099
0.7467,0.0104,0.2120,0.0310,3.6171,5.9864
0.1372,0.0854,0.1640,0.6134,2.274,4.9562
0.3958,0.0952,0.3768,0.1322,2.0147,4.5243
0.6436,0.0265,0.1677,0.1622,3.5014,5.9692
0.1598,0.6668,0.1647,0.0087,1.6279,4.3003
0.1401,0.2146,0.3866,0.2587,1.2317,3.272
0.3229,0.0652,0.2505,0.3614,2.3431,4.9356
0.1403,0.2708,0.0195,0.5694,2.1984,4.8404
0.1519,0.0880,0.1341,0.6260,2.3173,4.9845
0.2757,0.3609,0.3433,0.0201,1.645,4.374
0.2033,0.2899,0.0204,0.4864,2.0905,4.7517
0.3621,0.1577,0.4061,0.0741,1.7451,4.4178
0.5959,0.0719,0.1324,0.1999,3.4354,5.929
0.0237,0.4065,0.2405,0.3294,1.4483,4.2244
0.2656,0.5308,0.0090,0.1946,1.6946,4.317
0.3337,0.3233,0.3134,0.0296,1.7608,4.4199
0.1405,0.2847,0.1312,0.4436,1.9365,4.6282
0.0167,0.0977,0.7772,0.1084,1.2191,3.2508
0.3086,0.5567,0.1253,0.0094,1.729,4.3524
0.0564,0.5662,0.1589,0.2185,1.5023,4.2468
0.3995,0.0975,0.3436,0.1593,2.0305,4.5362
0.3334,0.5634,0.1000,0.0032,1.7464,4.3605
0.1558,0.2307,0.3711,0.2425,1.4993,4.3196
0.3664,0.3295,0.1981,0.1060,1.8035,4.441
0.0824,0.7157,0.1239,0.0780,1.5741,4.2643
0.0968,0.1358,0.3289,0.4385,1.3487,3.2725
0.0139,0.1133,0.2046,0.6682,2.2057,4.3005
0.0143,0.1860,0.2568,0.5429,1.9282,3.9524
0.2350,0.0734,0.0319,0.6597,2.6615,5.2989
0.0810,0.6981,0.0586,0.1623,1.5539,4.2458
0.1816,0.1945,0.1831,0.4408,1.9711,4.6526
0.1134,0.6503,0.0691,0.1672,1.5581,4.2541
0.3686,0.1209,0.0204,0.4901,2.7049,5.3374
0.6812,0.1429,0.0093,0.1666,3.7867,6.1108
0.6161,0.0708,0.0388,0.2743,3.6331,5.9846
0.1273,0.2445,0.3277,0.3006,1.471,4.261
0.2628,0.1491,0.3608,0.2273,1.6277,4.3687
0.4023,0.0301,0.2964,0.2712,2.3991,5.0854
0.1223,0.1158,0.2580,0.5039,1.8305,3.8166
0.3987,0.4635,0.1008,0.0370,1.7669,4.3874
0.5552,0.1652,0.1823,0.0973,3.1819,5.5719
0.0703,0.5520,0.0888,0.2889,1.4945,4.2334
0.0311,0.6910,0.1244,0.1535,1.5297,4.2428
0.2809,0.5121,0.1002,0.1069,1.7124,4.3411
0.0258,0.1650,0.7189,0.0903,1.2582,3.2605
0.0266,0.2619,0.1970,0.5145,2.1101,4.7755
0.0743,0.3446,0.2296,0.3516,1.4629,4.2361
0.3343,0.4139,0.0097,0.2421,1.9606,4.4485
0.0309,0.1882,0.5074,0.2735,1.2125,3.2547
0.5060,0.0891,0.1408,0.2641,3.2646,5.6096
0.2983,0.4088,0.2766,0.0163,1.6976,4.3923
0.0182,0.7673,0.0050,0.2095,1.5176,4.2109
0.0856,0.0750,0.6116,0.2278,1.2252,3.2611
0.1814,0.1568,0.0039,0.6578,2.6361,5.2937
0.1785,0.4870,0.0653,0.2692,1.5555,4.2594
0.0367,0.0967,0.4831,0.3836,1.2134,3.2552
0.0484,0.7729,0.0882,0.0905,1.5421,4.2439
0.1688,0.6880,0.0176,0.1256,1.645,4.2825
0.1724,0.0706,0.0777,0.6792,2.6947,5.3734
0.7340,0.1655,0.0421,0.0584,3.6767,6.054
0.7355,0.1204,0.1421,0.0020,3.5637,5.9013
0.0386,0.7694,0.0854,0.1066,1.5337,4.2391
0.4144,0.2319,0.2291,0.1246,2.0897,4.5601
0.0566,0.0200,0.5652,0.3583,1.2073,3.2509
0.2874,0.3521,0.1376,0.2228,1.8397,4.3914
0.7001,0.1984,0.0406,0.0609,3.6066,5.9612
0.0108,0.2238,0.4640,0.3014,1.1988,3.187
0.7757,0.0461,0.0288,0.1494,4.0857,6.4446
0.4811,0.0875,0.1074,0.3240,2.8394,5.2956
0.0535,0.4968,0.0427,0.4070,1.4622,4.2002
0.0296,0.0787,0.1587,0.7330,2.3539,4.4845
0.0347,0.0750,0.7101,0.1802,1.2282,3.2583
0.2507,0.7059,0.0023,0.0411,1.7142,4.3243
0.3143,0.6225,0.0210,0.0422,1.7528,4.3551
0.0269,0.8431,0.1153,0.0147,1.5598,4.2496
0.3639,0.1800,0.1884,0.2677,2.0032,4.5376
0.1400,0.3503,0.4298,0.0799,1.5783,4.3391
0.0413,0.8373,0.0267,0.0947,1.5602,4.2342
0.0553,0.1772,0.6391,0.1284,1.2655,3.2694
0.3261,0.1935,0.4248,0.0556,1.7134,4.4028
0.0671,0.4364,0.1361,0.3605,1.4584,4.2199
