lambda,delta,MAE,RMSE
0.99,0.01,1.1636,2.8152
0.99,0.1,1.4654,4.5195
0.99,1.0,1.4568,4.2094
0.99,10.0,1.3692,4.204
0.99,100.0,1.3416,4.1243
0.995,0.01,1.3255,3.6215
0.995,0.1,1.2897,3.2787
0.995,1.0,1.3863,3.8558
0.995,10.0,1.4866,4.2735
0.995,100.0,1.4298,4.2205
0.999,0.01,1.2967,3.1979
0.999,0.1,1.3064,3.0349
0.999,1.0,1.5128,4.3485
0.999,10.0,1.526,4.3147
0.999,100.0,1.4893,4.2489
0.9999,0.01,1.2331,3.1749
0.9999,0.1,1.2895,3.2208
0.9999,1.0,1.4894,4.2557
0.9999,10.0,1.4635,4.25
0.9999,100.0,1.4578,4.245
1.0,0.01,1.1394,3.1285
1.0,0.1,1.161,3.1498
1.0,1.0,1.3948,4.2112
1.0,10.0,1.4303,4.2174
1.0,100.0,1.4331,4.2185
